,adress,coordinates
0,"Москва, 4-й Кожевнический переулок, 4",55.7251837 37.6490745
1,"Москва, улица Малая Дмитровка, 15",55.7693505 37.6049336
2,"Москва, улица Кирпичные Выемки, 2, корп. 1",55.5870029 37.6013958
3,"Москва, Старокалужское шоссе, 62",55.6602902 37.5377131
4,"Москва, Болотная набережная, 15",55.7425975 37.6117717
5,"Москва, Большая Пионерская улица, 5с1",55.7292069 37.6345859
6,"Москва, Люблинская улица, 76, корп. 2",55.663629 37.73244
7,"Москва, Шлюзовая набережная, 2А",55.730948 37.64401
8,"Москва, улица Радио, 24, корп. 1",55.761796 37.6831665
9,"Москва, Боровая улица, 12",55.7699878 37.7147949
10,"Москва, Волгоградский проспект, 153, корп. 3, стр. 1",55.7059082 37.7839279
11,"Москва, Павелецкая площадь",55.730867 37.638773
12,"Москва, улица Вилиса Лациса, 6, корп. 1",55.8654282 37.4286787
13,"Москва, Духовской переулок, 22А",55.7060903 37.6144001
14,"Москва, улица Остоженка, 30, стр. 1",55.7398268 37.596159
15,"Москва, поселение Внуковское, улица Анны Ахматовой, 20",55.633739 37.324183
16,"Москва, Восточный административный округ, район Гольяново, жилой комплекс Амурский Парк, к3/4",55.8057498 37.7579789
17,"Москва, улица Покровка, 10, стр. 2",55.7589166 37.6442264
18,"Москва, Бауманская улица, 32, стр. 2",55.7721212 37.6783262
19,"Москва, Новоясеневский проспект, 1",55.6194439 37.5092758
20,"Москва, Варшавское шоссе, 154А",55.586222 37.596713
21,"Москва, Центральный административный округ, Красносельский район, Каланчёвская улица, 15А",55.7722 37.6515678
22,"Москва, Лукинская улица",55.6479116 37.3435938
23,"Москва, Свободный проспект, 20А",55.751286 37.8162938
24,"Москва, Щербинка, Южная улица, 6А, стр. 1",55.4927919 37.5669103
25,"Москва, Михневская улица, 8",55.5797112 37.6710148
26,"Москва, улица Новый Арбат, 24",55.7529834 37.5876332
27,"Москва, Большая Серпуховская улица, 31, корп. 10",55.7232006 37.6271845
28,"Москва, Вешняковская улица, 22А",55.720372 37.822074
29,"Москва, улица Обручева, 5А",55.6617689 37.5159864
30,"Москва, улица Маросейка, 10/1с1",55.7575068 37.6371039
31,"Москва, МКАД, 85-й километр, вл3с2",55.9105782 37.7363579
32,"Москва, Комсомольский проспект, 13А",55.7295676 37.5900657
33,"Москва, 8-я улица Соколиной Горы, 15А, стр. 23",55.7711261 37.7378198
34,"Москва, улица Академика Понтрягина, 14",55.5330098 37.4978678
35,"Москва, поселение Первомайское, квартал № 263",55.7540471 37.620405
36,"Москва, улица Петровка, 15, стр. 1",55.7635666 37.6166351
37,"Москва, Щёлковское шоссе, 100, корп. 100",55.8106202 37.8305121
38,"Москва, Электродная улица, 2, стр. 32",55.7543416 37.7525485
39,"Москва, улица Вавилова, 2/1",55.7095324 37.5906422
40,"Москва, Кастанаевская улица, 16, корп. 1",55.7393349 37.4929069
41,"Москва, Сельскохозяйственная улица, 62А, стр. 1",55.855693 37.6298602
42,"Москва, улица Сайкина, 17",55.704819 37.6683838
43,"Москва, Новинский бульвар, 8",55.7512173 37.5846803
44,"Москва, Давыдковская улица, 3",55.7274498 37.4799621
45,"Москва, улица Крымский Вал, 9Л",55.7168633 37.5924012
46,"Москва, проезд Завода Серп и Молот, 3, корп. 2",55.755013 37.697639
47,"Москва, улица Маршала Бирюзова, 1, корп. 1А",55.789411 37.498887
48,"Москва, улица Архитектора Щусева, 2, корп. 1",55.699938 37.635314
49,"Москва, улица Введенского, 1А",55.6483227 37.549848
